MIC_GOWAWA[0.6;1;S-OWA;1.0;0.0;2;W-OWA;0.9;1.0]_H_cdch,TS[1]_SIC_T_scm,GV[4]_CHOQUET[A;-0.75;AO1;0.9]_H_pah,GV[1]_HM_H_pah,TS[3]_CHOQUET[A;-0.75;AO2;0.0]_N_scm,TS[4]_V_U_z3,AC[7]_HM_U_mw,GV[2]_GOWAWA[0.8;1;AO2-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_U_eps,GV[3]_CHOQUET[A;-0.75;AO1;0.3]_H_pah,TS[4]_GOWAWA[0.7;1;AO2-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_N_scv,GV[2]_CHOQUET[A;-0.75;AO1;0.2]_U_pbs,ES_SD_H_z2,AC[1]_CHOQUET[A;-0.75;AO1;0.2]_H_pah,CHOQUET[A;-0.75;AO1;0.9]_U_pbs,AC[1]_CHOQUET[A;0.5;AO2;0.5]_F_z3,AC[4]_AM_T_hwhh,AC[3]_CHOQUET[A;-0.75;AO1;0.3]_H_pah,GV[4]_GOWAWA[0.2;2;ES2-OWA;0.9;0.0;2;W-OWA;0.4;0.6]_T_eps,GV[1]_P2_U_pbs,TS[3]_I50_F_mw,AC[2]_SIC_T_scv,GV[3]_AM_U_z2,TS[2]_Q1_T_eps,CHOQUET[D;-0.25;AO1;0.8]_B_scv,TS[2]_SIC_T_cch,AC[1]_HM_H_pah,CHOQUET[D;-0.75;AO1;0.9]_B_isa,ES_VC_T_gcp2,TS[4]_GOWAWA[0.5;1;AO2-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_F_cch,MIC_GOWAWA[0.0;1;NONE;0.0;0.0;0;S-OWA;0.0;1.0]_N_hwhh,AC[3]_HM_T_pie,TS[3]_GOWAWA[0.7;1;AO2-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_D_bi,SD_P_scv,CHOQUET[D;-0.25;AO1;0.8]_P_isa,AC[5]_P3_U_khh,SIC_T_ptt,TS[3]_HM_U_khh,GV[7]_P2_T_z3,GV[5]_HM_H_mw,TS[3]_CHOQUET[A;-0.75;AO1;0.3]_F_scm,GV[3]_CHOQUET[A;-0.5;AO1;0.3]_U_gcp1,GOWAWA[0.1;2;ES2-OWA;0.9;0.0;2;W-OWA;0.7;0.8]_F_ptt,GV[2]_N3_P_z3,AC[7]_P2_T_z3,ES_Q3_U_pie,TS[3]_AM_F_z1,TS[3]_GOWAWA[0.0;1;NONE;0.0;0.0;2;W-OWA;0.5;0.6]_N_gcp1,GV[3]_CHOQUET[A;-0.75;AO2;0.7]_T_khh,AC[4]_N3_A_khh,GV[2]_CHOQUET[A;-0.75;AO1;0.3]_H_pah,CHOQUET[A;-0.75;AO1;1.0]_F_khh,TS[2]_CHOQUET[A;-0.25;AO2;1.0]_T_khh,TS[3]_GOWAWA[0.0;1;NONE;0.0;0.0;2;W-OWA;0.5;0.6]_N_scm,GOWAWA[0.3;2;S-OWA;0.6;0.0;2;W-OWA;0.9;1.0]_U_cch,AC[4]_GOWAWA[0.0;1;NONE;0.0;0.0;0;S-OWA;0.0;1.0]_T_pie,TS[4]_P2_P_ptt,SIC_T_scm,TS[4]_GOWAWA[0.0;1;NONE;0.0;0.0;2;W-OWA;0.5;0.7]_H_pie,ES_Q3_C_cdch,TS[3]_GOWAWA[0.2;1;AO2-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_F_cch,AC[2]_GOWAWA[0.9;1;S-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_B_pbs,TS[4]_GOWAWA[0.2;2;S-OWA;0.6;0.0;2;S-OWA;0.8;0.1]_T_cch,AC[2]_CHOQUET[A;-0.25;AO1;0.8]_H_pah,SIC_F_hwhh,GV[3]_P2_T_eps,TS[3]_Q1_T_eps,CHOQUET[A;-0.5;AO2;0.0]_N_isa,GOWAWA[0.8;1;AO2-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_F_mw,Class
0.491825093,0.857657938,0.379966611,1.637155078,6.74155194,2.067598696,9811.318534,98226.47097,0.516961802,102.9898309,0.396846694,1.561607163,1.621518676,0.860801115,0.038053856,-0.141521739,1.550885407,51468.46495,0.851847848,115.0886,0.912302548,0.137636879,-967.03,172.6251809,0.214539025,1.637155078,162.0623772,13.34079856,0.328394393,0.243533621,33.97786876,0.057713035,66.15417984,148.1189747,1.060168931,0.701838733,1.166200233,0.397546971,2654.626613,112.5490423,114.4131507,0.975167669,-1.172104636,2.782828799,8.175346532,1.532553191,0.0,0.198180264,0.5686214,0.811686338,0.875871797,2.074917142,0.0,0.530232393,32.1488,1.030036407,0.687664028,9.93361573,-0.093257325,0.366848185,1.438649077,0.518457756,1.668701961,0.183583383,69386.80475,-951.76,0.749818557,81.96811436,APP
0.510462581,0.796453036,0.0,1.3653,0.0,5.671891667,0.0,74111.6984,0.4551,0.0,0.2738,1.377475446,1.3653,0.966895894,0.0,2.225,1.3653,41278.18666,0.925,0.0,0.871049064,-0.150026667,-850.48,217.366725,0.0,1.3653,166.2123668,0.864651023,0.0,0.0,41.9448976,0.0,105.4509094,179.16,0.0,0.75,0.757357024,0.381285714,0.0,0.0,105.8246,0.0,0.36125,2.669,7.908891624,0.0,0.0,0.233763949,0.0,0.61605,0.0,2.406712682,0.0,0.0,55.1284,0.75,0.75,0.0,1.625017361,0.0,1.24638008,0.0,1.2321,0.0,57752.22559,-872.335,0.0,0.0,APP
0.5,0.827729377,0.0,1.3653,0.0,8.4872,0.0,74113.29828,0.4551,0.0,0.2738,1.58036974,1.3653,0.966895894,0.0,-1.75,1.3653,40894.34562,0.925,0.0,1.0,-0.250044444,-851.08,211.8111216,0.0,1.3653,158.8576552,0.939895457,0.0,0.0,42.32688414,0.0,92.99896057,179.16,0.0,0.871049064,0.811904762,0.0,0.0,0.0,105.8246,0.0,0.0,0.0,7.856859722,0.0,0.0,0.241831563,0.0,0.61605,0.0,2.472818882,0.0,0.0,55.1284,0.75,0.871049064,5.07,1.453611111,0.0,0.0,0.0,1.2321,0.0,59009.82868,-872.66,0.0,0.0,APP
0.0,0.49113259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.375,0.0,42412.79935,0.0,48.55835,0.484196257,0.0,-828.4125,140.0,0.0,0.0,120.91,1.47429377,0.0,0.0,89.57178265,0.0,58.942016,121.6334097,0.0,0.353759375,0.0,0.633942857,0.0,115.0,0.0,0.132093714,0.0,4.4376,0.0,-0.244,0.0,0.409097214,0.0,0.0,0.69,2.911705347,0.0,0.0,115.7776,1.387551801,0.353759375,0.0,1.274739583,0.0,0.0,0.0,0.0,0.0,55564.975,-831.445,0.0,74.16730501,APP
0.428826479,1.0,0.0,1.599,0.0,0.398256667,0.0,85379.92415,0.0,0.0,0.475,1.244511561,1.599,0.976018548,0.0,0.27,0.0,43426.37635,0.827545769,97.1167,1.0,0.0,-901.9875,193.1707499,0.270426041,1.599,173.8557935,7.042757985,0.0405,0.0,35.19065661,0.0,93.47259848,165.9650921,0.0,0.939794001,1.122053431,0.30847244,0.0,188.5351193,0.0,0.936401479,-0.9721687,2.159307077,6.904727606,0.111428571,0.0,0.133436839,0.3519,0.0,1.013809524,1.758498392,0.0,0.24,33.3374,1.417039167,0.939794001,4.228498551,-0.01480517,0.0648,1.364192993,0.266578874,0.0,0.141181742,58312.47082,-888.78,0.0,84.90337059,APP
0.451130939,0.883401528,0.410106247,1.689262577,23.02093094,0.206258824,14620.19977,84839.90885,0.551504029,92.12745116,0.395985718,2.153276632,1.660237829,0.827987443,0.0,0.485,1.654512088,50993.73125,0.0,114.1038,0.930586536,0.0,-946.04,167.9977,0.285635894,1.689262577,163.4213685,-4.300764699,0.244451934,0.391973062,26.0722519,0.05565415,76.88732311,138.0090339,0.0,0.775756176,0.954120267,0.418429931,1920.644016,127.3405219,0.0,0.0641103,0.761956614,2.929009518,-0.10014592,1.34,10.70984765,0.171766887,0.817540907,0.815089973,1.003099627,1.874172257,84.29314056,0.737686698,33.7305,1.004394511,0.710883172,9.863464148,-0.032168184,0.410724108,1.977141529,0.646344147,1.655132953,0.156938802,68693.02135,-952.4,2.272760532,81.08954939,APP
0.284417591,0.939794001,0.0,1.4319,0.0,2.037933333,14209.07236,88293.29347,0.0,0.0,0.412181899,1.006605555,1.4319,0.926272619,0.008625181,-1.285714286,0.0,45759.84965,0.982262348,65.30865,0.763230027,0.895566667,-873.58,180.95388,0.24107968,1.4319,141.460105,-8.567928358,0.6401345,0.0,43.87201205,0.447645132,54.51015418,120.8306375,0.623662986,0.737213794,0.988042315,0.312669959,0.0,90.99283528,118.4812836,1.161181479,0.0,2.188689716,7.859089679,1.9175,0.0,0.215375479,0.724057959,0.0,0.766021505,1.9730192,0.0,0.663164324,35.6409,0.658976479,0.737213794,0.0,-0.036033163,0.4637664,0.0,0.934187366,0.0,0.12704312,60493.25465,-864.015,0.0,60.4401776,APP
0.216145051,0.9375,0.416022852,1.670272374,9.5,0.255173077,7582.612915,91126.88448,0.5461,71.17268747,0.368,1.427598286,1.670545527,0.881196695,0.050704295,0.551538462,1.6383,47014.86027,0.0,87.0782,0.884735489,0.208019048,-928.02,187.9540457,0.269519084,1.670272374,169.5419968,-5.223915123,0.109586054,0.240438991,34.28110767,0.136429041,85.69585797,151.7199944,0.0,0.798523083,0.920844753,0.239165469,2210.827128,99.58122928,122.7889333,0.935485765,0.382668065,1.674158284,9.463395779,1.317142857,0.0,0.14699575,0.499823327,0.8385,0.933810787,1.748017994,0.0,0.2413199,64.6676,0.953634197,0.746575995,4.228498551,-0.009132231,0.365877104,0.0,0.310397146,1.677,0.204123452,65176.86062,-903.81,1.085882353,72.63278679,APP
0.23449045,0.962478638,0.0,1.651,11.08333333,0.139025455,7582.612915,88178.53208,0.5461,72.58583535,0.403092825,1.389303907,1.651,0.881196695,0.058167648,-0.039090909,1.6383,46864.86993,0.0,87.0782,0.901157537,0.242688889,-921.035,187.9540457,0.308102757,1.651,169.5419968,-7.263863406,0.117810369,0.260459373,34.11202269,0.15929263,86.57769976,150.5560128,0.0,0.863489053,0.920844753,0.13465042,0.0,99.58122928,122.7889333,0.944743182,-0.438221086,0.942552939,10.2318393,1.536666667,0.0,0.16641493,0.391362099,0.8385,0.933810787,1.780458048,0.0,0.242487114,64.6676,0.91680605,0.816480016,3.46987517,-0.012345679,0.425419329,1.49648472,0.325233436,1.677,0.231792327,64989.21403,-910.21,1.230666667,74.05682565,APP
0.208125181,0.91365275,0.416022852,1.676796875,8.866666667,0.21015,9029.045738,91126.08468,0.5461,70.49842132,0.368,1.410470253,1.670540469,0.881196695,0.047647524,0.233571429,1.6383,48300.19932,0.0,87.0782,0.863204883,0.194151111,-924.5275,187.9540457,0.253524414,1.676796875,169.5419968,-4.573144126,0.106079899,0.2316625,34.37768706,0.126905654,84.96854416,152.0865599,0.68,0.76538826,0.920844753,0.196065965,2210.827128,99.58122928,122.7889333,0.931210224,0.550430778,1.372461754,9.011497266,1.229333333,0.0,0.142562811,0.583161307,0.840670014,0.933810787,1.737294976,0.0,0.240831892,64.6676,0.900282007,0.7134271,4.882649627,-0.007934458,0.340493314,0.0,0.304255535,1.681351198,0.192586612,65410.28117,-913.41,1.025555556,72.00261304,APP
